spot_id,name,category,district,locality,latitude,longitude,elevation_m,height_m,best_season,difficulty,popularity_tier,highlights,primary_source,verification_status,last_verified,record_status
MH-VL-009,Panshet Valley,VALLEY,Pune,Panshet,18.42,73.56,,,September-February,"Easy, lakeside",POPULAR,"Backwater valley around Panshet dam, popular for boating and camping",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-HS-001,Mahabaleshwar,HILL_STATION,Satara,Mahabaleshwar,17.9307,73.6477,1353,,October-June,"Easy, drivable",POPULAR,"Maharashtra's best-known hill station; strawberries, points, old town",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-HS-002,Panchgani,HILL_STATION,Satara,Panchgani,17.9245,73.801,1334,,October-June,"Easy, drivable",POPULAR,"Table Land plateau, boarding schools, close to Mahabaleshwar",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-HS-003,Matheran,HILL_STATION,Raigad,Matheran,18.9848,73.2648,800,,October-May,"Easy; vehicle-free town, toy train/walk",POPULAR,"Vehicle-free hill station reached by toy train, red laterite paths, many viewpoints",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-HS-004,Lonavala,HILL_STATION,Pune,Lonavala,18.7546,73.4062,625,,June-February,"Easy, drivable",POPULAR,"Gateway hill town to the Sahyadris, chikki, caves, and monsoon waterfalls",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-HS-005,Khandala,HILL_STATION,Pune,Khandala,18.7622,73.3872,625,,June-February,"Easy, drivable",POPULAR,Twin town to Lonavala with Duke's Nose and Tiger's Leap viewpoints,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-HS-006,Chikhaldara,HILL_STATION,Amravati,Chikhaldara,21.3667,77.2667,1118,,October-June,"Easy, drivable",HIDDEN_GEM,"Only hill station in Vidarbha; coffee plantations, tiger reserve views",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-HS-007,Toranmal,HILL_STATION,Nandurbar,Toranmal,21.885,74.447,1150,,October-June,"Easy, drivable",HIDDEN_GEM,"Remote Satpura hill station bordering Madhya Pradesh, thick forest cover",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-HS-008,Bhandardara,HILL_STATION,Ahmednagar,Bhandardara,19.5401,73.7509,750,,September-February,"Easy, drivable",POPULAR,"Lakeside hill retreat below Kalsubai peak, waterfalls and dam backwaters",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-HS-009,Igatpuri,HILL_STATION,Nashik,Igatpuri,19.6969,73.5626,600,,July-February,"Easy, drivable",POPULAR,"Misty ghat town on the Mumbai-Nashik route, Vipassana centre, Bhatsa valley views",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-HS-010,Jawhar,HILL_STATION,Palghar,Jawhar,19.911,73.229,518,,September-February,"Easy, drivable",HIDDEN_GEM,"Called 'Mini Mahabaleshwar'; tribal culture, Dabhosa & Kalmandavi waterfalls",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-HS-011,Amboli,HILL_STATION,Sindhudurg,Amboli,15.955,74.002,690,,June-February,"Easy, drivable",HIDDEN_GEM,"Wettest hill station on the Konkan side; rich biodiversity, endemic frogs",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-HS-012,Panhala,HILL_STATION,Kolhapur,Panhala,16.81,74.108,845,,October-June,"Easy, drivable",HIDDEN_GEM,"Historic hill town beside Panhala fort, cool climate near Kolhapur",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-001,Alibaug Beach,BEACH,Raigad,Alibaug,18.6414,72.8722,,,October-May,Easy,POPULAR,"Closest beach town to Mumbai, water sports and old forts nearby",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-002,Kashid Beach,BEACH,Raigad,Kashid,18.446,72.904,,,October-May,Easy,POPULAR,"White-sand beach between Alibaug and Murud, calm and clean",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-003,Murud Beach,BEACH,Raigad,Murud,18.33,72.966,,,October-May,Easy,POPULAR,Beach town famous for the sea-fort Murud-Janjira,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-004,Diveagar Beach,BEACH,Raigad,Diveagar,18.158,73.02,,,October-May,Easy,HIDDEN_GEM,"Quiet white-sand beach and Ganesh temple, less crowded than Alibaug",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-005,Harihareshwar Beach,BEACH,Raigad,Harihareshwar,17.991,73.013,,,October-May,Easy,HIDDEN_GEM,"Pilgrim beach town, 'Kashi of the Konkan', rocky headland and temple",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-006,Ganpatipule Beach,BEACH,Ratnagiri,Ganpatipule,17.144,73.265,,,October-May,Easy,POPULAR,Beach beside the famous swayambhu Ganpati temple,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-007,Tarkarli Beach,BEACH,Sindhudurg,Tarkarli,16.033,73.47,,,October-May,Easy,POPULAR,Clear-water beach known for scuba diving and water sports,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-008,Malvan Beach,BEACH,Sindhudurg,Malvan,16.06,73.47,,,October-May,Easy,POPULAR,Gateway to Sindhudurg fort and Malvan's Konkani cuisine,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-009,Vengurla Beach,BEACH,Sindhudurg,Vengurla,15.853,73.633,,,October-May,Easy,HIDDEN_GEM,Quiet beach town with cashew orchards and old lighthouse,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-010,Guhagar Beach,BEACH,Ratnagiri,Guhagar,17.478,73.188,,,October-May,Easy,HIDDEN_GEM,"Long crescent beach lined with casuarina trees, calm waters",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-011,Velneshwar Beach,BEACH,Ratnagiri,Velneshwar,17.56,73.13,,,October-May,Easy,HIDDEN_GEM,"Clean beach beside an ancient Shiva temple, quieter Konkan option",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-012,Karde Beach,BEACH,Ratnagiri,Dapoli,17.758,73.15,,,October-May,Easy,POPULAR,Popular Dapoli-area beach with resorts and water sports,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-013,Anjarle Beach,BEACH,Ratnagiri,Anjarle,17.728,73.108,,,October-May,Easy,HIDDEN_GEM,Olive Ridley turtle nesting beach near Dapoli,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-014,Kelva Beach,BEACH,Palghar,Kelva,19.596,72.748,,,October-May,Easy,HIDDEN_GEM,"Casuarina-lined beach close to Mumbai, quieter weekend option",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-BC-015,Bordi Beach,BEACH,Palghar,Bordi,20.169,72.753,,,October-May,Easy,HIDDEN_GEM,Chikoo orchards and long flat beach near the Gujarat border,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-CP-001,Malshej Ghat,CLOUD_POINT,Thane,Malshej Ghat,19.307,73.825,700,,July-September,"Easy, roadside viewpoints",POPULAR,Famous monsoon ghat where clouds roll over the road; waterfalls and flamingo sightings nearby,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-CP-002,Kaas Plateau,CLOUD_POINT,Satara,Kaas,17.718,73.818,1200,,"August-September (flowers), monsoon (clouds)",Easy plateau walk,POPULAR,UNESCO World Natural Heritage 'Valley of Flowers'; sea-of-clouds views,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-CP-003,Panchgani Table Land,CLOUD_POINT,Satara,Panchgani,17.92,73.79,1450,,June-September,"Easy, flat plateau",POPULAR,"Second largest volcanic plateau in Asia, frequently covered in monsoon mist",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-CP-004,Cloud's End & Echo Point,CLOUD_POINT,Raigad,Matheran,18.977,73.26,800,,June-September,Easy walk from town,POPULAR,Matheran viewpoints that regularly sit inside monsoon cloud cover,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-CP-005,Tiger's Leap & Duke's Nose,CLOUD_POINT,Pune,Khandala,18.755,73.37,,,June-September,Easy roadside viewpoint,POPULAR,"Cliffside viewpoints overlooking the Sahyadri valley, often shrouded in cloud",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-CP-006,Amboli Ghat Viewpoint,CLOUD_POINT,Sindhudurg,Amboli,15.95,74.0,690,,June-September,Easy,HIDDEN_GEM,Konkan-facing viewpoint that fills with monsoon mist within minutes,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-PK-001,Kalsubai,PEAK,Ahmednagar,"Bari, Akole",19.6008,73.7135,1646,,October-February for clear summit views,"Moderate, 3-4 hr trek with iron ladders",POPULAR,"Highest peak in Maharashtra, 'Everest of Maharashtra'",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-PK-002,Salher,PEAK,Nashik,"Salher, Baglan",20.532,73.758,1567,,October-February,"Hard, long trek/fort climb",HIDDEN_GEM,"Second-highest peak in Maharashtra, also a historic fort near the Gujarat border",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-PK-003,Taramati Peak (Harishchandragad),PEAK,Ahmednagar,Harishchandragad,19.39,73.775,1424,,October-February,Hard trek to plateau then peak,POPULAR,"Highest point on the Harishchandragad plateau, third-highest in the state",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-PK-004,Saptashrungi,PEAK,Nashik,Vani,20.105,73.995,1416,,October-March,"Easy, ropeway or steps to temple",POPULAR,Devi Shakti-peeth temple peak with panoramic Sahyadri views,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-PK-005,Anjaneri,PEAK,Nashik,Anjaneri,19.933,73.642,1300,,October-February,Moderate trek,HIDDEN_GEM,Believed birthplace of Lord Hanuman; distinct table-top summit,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-PK-006,Astambha Peak,PEAK,Nandurbar,Toranmal,21.89,74.46,1325,,October-February,Moderate forest trek,HIDDEN_GEM,"Highest point of the Satpura range within Maharashtra, near Toranmal",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-PK-007,Bhimashankar Peak (Ganesh Ghat),PEAK,Pune,Bhimashankar,19.073,73.535,1033,,October-February,Moderate forest trail,HIDDEN_GEM,Forested ridge above the Bhimashankar Jyotirlinga temple,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-AV-001,Moreshwar Ganpati,ASHTAVINAYAK,Pune,Morgaon,18.205,74.477,,,Year-round (pilgrimage),"Easy, temple town",POPULAR,1st and starting temple of the Ashtavinayak yatra,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-AV-002,"Siddhivinayak, Siddhatek",ASHTAVINAYAK,Ahmednagar,Siddhatek,18.568,75.027,,,Year-round,Easy,POPULAR,"2nd Ashtavinayak temple, on the banks of the Bhima river",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-AV-003,"Ballaleshwar, Pali",ASHTAVINAYAK,Raigad,Pali,18.498,73.37,,,Year-round,Easy,POPULAR,3rd Ashtavinayak temple; the only one named after a devotee,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-AV-004,"Varadavinayak, Mahad",ASHTAVINAYAK,Raigad,Mahad (Khopoli),18.797,73.399,,,Year-round,Easy,POPULAR,"4th Ashtavinayak temple, near Khopoli",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-AV-005,"Chintamani, Theur",ASHTAVINAYAK,Pune,Theur,18.472,74.008,,,Year-round,Easy,POPULAR,"5th Ashtavinayak temple, close to Pune city",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-AV-006,"Girijatmaj, Lenyadri",ASHTAVINAYAK,Pune,"Lenyadri, Junnar",19.197,73.889,,,Year-round,"Moderate, ~300 steps to cave temple",POPULAR,"6th Ashtavinayak temple, inside a Buddhist rock-cut cave complex",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-AV-007,"Vighnahar, Ozar",ASHTAVINAYAK,Pune,"Ozar, Junnar",19.207,73.92,,,Year-round,Easy,POPULAR,"7th Ashtavinayak temple, near Junnar",AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
MH-AV-008,"Mahaganapati, Ranjangaon",ASHTAVINAYAK,Pune,Ranjangaon,18.725,74.245,,,Year-round,Easy,POPULAR,8th and final temple of the Ashtavinayak yatra,AI-curated from established Maharashtra tourism knowledge,AI-CURATED; GPS & DETAILS NEED FIELD/OFFICIAL VERIFICATION BEFORE PUBLISHING,2026-09-09,DRAFT_FOR_REVIEW
