location_id,name,state,district,locality,category,section,description,known_for,latitude,longitude,best_season,difficulty,popularity_tier,primary_source,photo_source_url,info_source_url,verification_status,last_verified,record_status
IN-00001,Trimbakeshwar Jyotirlinga,Maharashtra,Nashik,,Jyotirlinga,JYOTIRLINGA,,One of the twelve Jyotirlinga pilgrimage sites of Shiva; special spiritual heritage destination.,,,,,ICONIC,Wikipedia/Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00012,Grishneshwar Jyotirlinga,Maharashtra,Chhatrapati Sambhajinagar,,Jyotirlinga,JYOTIRLINGA,,One of the twelve Jyotirlinga pilgrimage sites of Shiva; special spiritual heritage destination.,,,,,ICONIC,Wikipedia/Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00013,Ajanta Caves,Maharashtra,Chhatrapati Sambhajinagar,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,ICONIC,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00014,Ellora Caves,Maharashtra,Chhatrapati Sambhajinagar,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,ICONIC,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00015,Elephanta Caves,Maharashtra,Mumbai City,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,ICONIC,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00016,Western Ghats,Maharashtra/Karnataka/Goa/Kerala/Tamil Nadu,Multi-state,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,ICONIC,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00017,Great Himalayan National Park Conservation Area,Himachal Pradesh,Kullu,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,ICONIC,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00018,Kaziranga National Park,Assam,Golaghat/Nagaon,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,ICONIC,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00019,Keoladeo National Park,Rajasthan,Bharatpur,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,ICONIC,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00020,Manas Wildlife Sanctuary,Assam,Chirang/Baksa,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,ICONIC,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00021,Nanda Devi and Valley of Flowers National Parks,Uttarakhand,Chamoli,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,ICONIC,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00022,Sundarbans National Park,West Bengal,South 24 Parganas,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,ICONIC,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00023,Khangchendzonga National Park,Sikkim,North Sikkim,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,ICONIC,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00024,Rock Shelters of Bhimbetka,Madhya Pradesh,Raisen,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,ICONIC,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00025,Dholavira,Gujarat,Kutch,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,ICONIC,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00026,Chilika Lake,Odisha,Puri/Khordha/Ganjam,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,RENOWNED,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00027,Bhedaghat-Lametaghat,Madhya Pradesh,Jabalpur,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,RENOWNED,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00028,Satpura Tiger Reserve,Madhya Pradesh,Narmadapuram,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,RENOWNED,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00029,Kanger Valley National Park,Chhattisgarh,Bastar,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,RENOWNED,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00030,Meghalayan Age Caves,Meghalaya,East Khasi Hills,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,RENOWNED,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00031,Deccan Traps at Panchgani and Mahabaleshwar,Maharashtra,Satara,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,RENOWNED,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00032,Natural Heritage of Tirumala Hills,Andhra Pradesh,Tirupati,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,RENOWNED,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00033,Natural Heritage of Varkala,Kerala,Thiruvananthapuram,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,RENOWNED,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00034,Geological Heritage of St Mary’s Island Cluster,Karnataka,Udupi,,World Heritage / UNESCO,WORLD_HERITAGE,,UNESCO World Heritage or UNESCO Tentative List destination; classification preserved in section metadata.,,,,,RENOWNED,UNESCO World Heritage Centre,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00035,Kalu Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,RENOWNED,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00036,Vajrai Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,RENOWNED,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00037,Thoseghar Waterfalls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,RENOWNED,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00038,Devkund Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,RENOWNED,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00039,Randha Falls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,RENOWNED,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00040,Bhivpuri Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,RENOWNED,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00041,Tamhini Waterfalls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,RENOWNED,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00042,Lingmala Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,RENOWNED,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00043,Dugarwadi Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,RENOWNED,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00044,Umbrella Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,RENOWNED,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00045,Nanemachi Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,RENOWNED,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00046,Kumbhe Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,RENOWNED,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00047,Kataldhar Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,RENOWNED,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00048,Kondhavale Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,RENOWNED,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00049,Zenith Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00050,Bhagirath Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00051,Kune Falls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00052,Kansai Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00053,Dabhosa Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00054,Chinchoti Waterfalls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00055,Kondana Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00056,Amboli Ghat Waterfalls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00057,Savdav Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00058,Marleshwar Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00059,Panhala Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00060,Amba Ghat Waterfalls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00061,Gaganbawda Waterfalls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00062,Gorakhgad Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00063,Kataldhar,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00064,Bhambavli Vajrai,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00065,Bhambavli Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00066,Thoseghar Lower Falls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00067,Thoseghar Upper Falls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00068,Lingmala Main Falls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00069,Lingmala Mini Falls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00070,Dhavaleshwar Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00071,Pandavleni Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00072,Daregaon Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00073,Khadakwasla Monsoon Falls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00074,Kundalika Waterfalls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00075,Kundmala Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00076,Aare-Ware Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00077,Toranmal Waterfalls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00078,Gautam Rishi Waterfall,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
IN-00079,Kokankada Monsoon Falls,Maharashtra,,,WATERFALL,MAHARASHTRA_PRIORITY,,Nature-focused Maharashtra destination; famous for its waterfall landscape or outdoor experience.,,,,,NOTABLE,Maharashtra Tourism / Wikipedia / Wikimedia Commons search,,,AI_CURATED_NEEDS_VERIFICATION,2026-09-11,DRAFT_FOR_REVIEW
