"fort_id","fort_name","district","locality","base_village","latitude","longitude","location_source","location_confidence","elevation_m","route_id","route_name","route_start","route_start_latitude","route_start_longitude","route_end","route_distance_km","route_duration","route_difficulty","route_type","trek_start","trek_route","trek_distance_km","trek_duration","difficulty","best_season","protection_status","route_source","route_verification_status","gps_status","trek_status","primary_source","verification_status","location_verified_date","last_verified","dataset_scope","record_status","base_village_source","trek_start_latitude","trek_start_longitude","route_confidence"
"MH-F-011","Murud-Janjira Fort","Raigad","Murud","Murud / Rajapuri","18.299722","72.964167","Wikidata; ASI reference","SOURCE-BASED; MAP CROSS-CHECK COMPLETE FOR FORT POINT","","MH-F-011-R1","Rajapuri Boat Access","Rajapuri Jetty","","","Murud-Janjira Fort","","15–20 min boat ride","Boat access","Boat + walk","Rajapuri Jetty","Rajapuri Boat Access","","15–20 min boat ride","Boat access","Weather dependent","","Maharashtra Tourism — Murud-Janjira","SOURCE VERIFIED; TRAIL GPS PENDING","VERIFIED_SOURCE_COORDINATE","SOURCE_VERIFIED","Maharashtra Tourism — Murud-Janjira","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-012","Nagardhan Fort","Nagpur","Ramtek","Nagardhan / Ramtek region","21.337008","79.315762","Wikidata coordinate; state protected monument reference","SOURCE-BASED; FINAL MAP CROSS-CHECK PENDING","","","","","","","","","","","","","Local road access → fort precinct; exact trek metrics pending","","","","October–February","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Nagardhan","OFFICIAL TOURISM SOURCE VERIFIED; EXACT GPS/TRAIL TRACK PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-013","Naldurg Fort","Dharashiv","Naldurg","Naldurg","17.81791","76.28917","OpenStreetMap/Mapcarta coordinate","SOURCE-BASED; FINAL MAP CROSS-CHECK PENDING","","","","","","","","","","","","","Road-accessible land fort; internal ramparts and pathways","","","","October–March","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Naldurg","OFFICIAL TOURISM SOURCE VERIFIED; EXACT GPS/TRAIL TRACK PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-014","Narnala Fort","Akola","Narnala","Narnala / Akot region","21.240094","77.027336","Wikidata coordinate; district government source gives ~21.25,77.0667","SOURCE-BASED; FINAL MAP CROSS-CHECK PENDING","","","","","","","","","","","","","Hill/fort access in Satpura range; exact trail metrics not stated on source page","","","","October–February","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Narnala","OFFICIAL TOURISM SOURCE VERIFIED; EXACT GPS/TRAIL TRACK PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-015","Panhala Fort","Kolhapur","Panhala","Panhala","16.808889","74.109167","Wikidata; ASI reference","SOURCE-BASED; MAP CROSS-CHECK COMPLETE FOR FORT POINT","","","","","","","","","","","","Panhala","Local trekking trails around Panhala Fort","","","Trail metrics pending","October–February; monsoon with caution","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Maharashtra Tourism — Panhala","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-016","Pauni Fort","Bhandara","Pauni","Pauni","20.78755","79.63365","Monuments of National Importance coordinate","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","Pauni town/local access; trek metrics pending","","","","October–February","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Pauni","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-017","Pratapgad Fort","Satara","Pratapgad","Mahabaleshwar region","17.936225","73.577608","Wikidata","SOURCE-BASED; MAP CROSS-CHECK COMPLETE FOR FORT POINT","1080","","","","","","","","","","","Road approach near Pratapgad","Approach road → fort; local trekking paths around the fort","","","Trek information source-confirmed; exact trail metrics pending","October–February; monsoon slippery","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Maharashtra Tourism — Pratapgad","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-018","Purandar Fort","Pune","Purandar","Narayanpur","18.27739","73.97445","OpenStreetMap/Mapcarta","SOURCE-BASED; MAP CROSS-CHECK COMPLETE FOR FORT POINT","1374","MH-F-018-R1","Narayanpur Route","Narayanpur","","","Purandar Fort","","","Moderate","Trek","Narayanpur","Narayanpur Route","","","Moderate","October–February","","Maharashtra Tourism — Purandar","SOURCE VERIFIED; TRAIL GPS PENDING","VERIFIED_SOURCE_COORDINATE","SOURCE_VERIFIED","Maharashtra Tourism — Purandar","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-019","Rajgad Fort","Pune","Gunjavane / Velhe","Gunjavane / Pali / Bhor","18.245986","73.682193","Wikidata","SOURCE-BASED; MAP CROSS-CHECK COMPLETE FOR FORT POINT","1376","MH-F-019-R1","Gunjavane Route","Gunjavane","","","Padmavati Machi","","","Moderate–challenging","Trek","Gunjavane","Gunjavane Route","","","Moderate–challenging","October–February; monsoon with caution","","Maharashtra Tourism — Rajgad","SOURCE VERIFIED; TRAIL GPS PENDING","VERIFIED_SOURCE_COORDINATE","SOURCE_VERIFIED","Maharashtra Tourism — Rajgad","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-020","Sajjangad Fort","Satara","Sajjangad","","17.64958","73.9112","OpenStreetMap/Mapcarta","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Tourism / Maharashtra Directorate of Archaeology & Museums","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-021","Shivneri Fort","Pune","Junnar","Junnar","19.196643","73.858001","Wikidata; ASI reference","SOURCE-BASED; MAP CROSS-CHECK COMPLETE FOR FORT POINT","","MH-F-021-R1","Junnar Approach","Junnar","","","Shivneri Fort","","","Moderate","Hike/Approach","Junnar","Junnar Approach","","","Moderate","October–February; monsoon with caution","","Maharashtra Tourism — Shivneri","SOURCE VERIFIED; TRAIL GPS PENDING","VERIFIED_SOURCE_COORDINATE","SOURCE_VERIFIED","Maharashtra Tourism — Shivneri","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-022","Sindhudurg Fort","Sindhudurg","Malvan","Malvan","16.041996","73.459859","Wikidata; ASI reference","SOURCE-BASED; MAP CROSS-CHECK COMPLETE FOR FORT POINT","","MH-F-022-R1","Malvan Boat Access","Malvan Jetty","","","Sindhudurg Fort","","10–15 min boat ride","Boat access","Boat + walk","Malvan Jetty","Malvan Boat Access","","10–15 min boat ride","Boat access","Weather dependent; monsoon sea conditions can be challenging","","Maharashtra Tourism — Sindhudurg","SOURCE VERIFIED; TRAIL GPS PENDING","VERIFIED_SOURCE_COORDINATE","SOURCE_VERIFIED","Maharashtra Tourism — Sindhudurg","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-023","Sinhagad Fort","Pune","Sinhagad","","18.365664","73.755269","OpenStreetMap/Mapcarta; published fort coordinate","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Department of Tourism Maharashtra","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-024","Torna Fort","Pune","Velhe","Velhe","18.276072","73.622717","Published coordinate record; ASI-linked Wikidata","SOURCE-BASED; MAP CROSS-CHECK COMPLETE FOR FORT POINT","1403","MH-F-024-R1","Velhe Route","Velhe village","","","Torna Fort","","3–4 hours","Challenging","Trek","Velhe village","Velhe Route","","3–4 hours","Challenging","October–February; monsoon with caution","","Maharashtra Tourism — Torna","SOURCE VERIFIED; TRAIL GPS PENDING","VERIFIED_SOURCE_COORDINATE","SOURCE_VERIFIED","Maharashtra Tourism — Torna","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-025","Vasai Fort","Palghar","Vasai","","19.330497","72.814605","UNESCO tentative-list coordinate / ASI-referenced Wikidata","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Tourism / Maharashtra Directorate of Archaeology & Museums","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-026","Vijaydurg Fort","Sindhudurg","Vijaydurg","Vijaydurg / Devgad region","16.560831","73.333331","Wikidata; ASI reference","SOURCE-BASED; MAP CROSS-CHECK COMPLETE FOR FORT POINT","","","","","","","","","","","","Vijaydurg fort approach","Road/boat approach → Fort entrance → ramparts and internal trails","","","Easy walking/exploration; coastal conditions apply","October–March","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Vijaydurg","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-027","Vishalgad Fort","Kolhapur","Gajapur","Malkapur / Vishalgad base","16.90492","73.74264","OpenStreetMap/Mapcarta","SOURCE-BASED; MAP CROSS-CHECK COMPLETE FOR FORT POINT","~1067","","","","","","","","","","","Malkapur base approach","Malkapur approach → trek through forest/plateau terrain → Vishalgad","","","Moderate to challenging","October–February; monsoon slippery","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Vishalgad","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-028","Shirgaon Fort","Palghar","Shirgaon","","19.6962","72.71353","OpenStreetMap/Mapcarta","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-029","Bhudargad Fort","Kolhapur","Bhudargad","","16.24963","74.14263","OpenStreetMap/Mapcarta","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-030","Kharda Fort","Ahilyanagar","Kharda","Kharda, Jamkhed","18.63314","75.474733","State Protected Monuments coordinate","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","Local fort access; exact trek metrics pending","","","","Not specified","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Ahilyanagar district","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-031","Galana Fort","Nashik","Galana","","20.773339","74.533331","Published floristic study of Galana Fort area","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-032","Ambagad Fort","Bhandara","Ambagad","Ambagad / Chicholi area","21.458839","79.6482","Wikimedia Commons geolocation","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","Base of hill → narrow forest trails → fort","","","","July–February; monsoon/post-monsoon favorable","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Ambagar","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-033","Manikgad Fort","Chandrapur","Manikgad","Manikgad area","19.67438","79.12525","OpenStreetMap/Mapcarta","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","Hill approach / hiking trail; exact trail metrics pending","","","","Not specified","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Chandrapur district","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-034","Antur Fort","Chhatrapati Sambhajinagar","Nagapur","","20.428147","75.235286","State Protected Monuments coordinate","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-035","Paranda Fort","Dharashiv","Paranda","Paranda","18.270122","75.453194","Wikidata coordinate; state protected monument reference","SOURCE-BASED; FINAL MAP CROSS-CHECK PENDING","","","","","","","","","","","","","Local road/access to fort; exact trek metrics pending","","","","October–February","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Paranda","OFFICIAL TOURISM SOURCE VERIFIED; EXACT GPS/TRAIL TRACK PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-036","Dharur Fort","Beed","Dharur","Dharur, Beed","18.818631","76.10205","State Protected Monuments coordinate","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","Local approach and heritage exploration; trekking metrics pending","","","","October–February","","","","VERIFIED_SOURCE_COORDINATE","PARTIAL_SOURCE_INFO","Department of Tourism Maharashtra — Beed district","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-037","Ausa Fort","Latur","Ausa","","18.2411","76.49965","Wikidata/Mapcarta; State Protected Monument","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-038","Mahur Fort","Nanded","Mahur","","19.835972","77.925694","Wikidata; State Protected Monument","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-039","Purngad Fort","Ratnagiri","Purngad","","16.80806","73.31495","OpenStreetMap/Mapcarta","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-040","Bankot Fort","Ratnagiri","Bankot","","17.97331","73.04253","OpenStreetMap/Mapcarta; UNESCO provisional-list coordinate corroborates","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-041","Underi Fort","Raigad","Underi","","18.70672","72.8419","OpenStreetMap/Mapcarta","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-042","Yashwantgad Fort","Sindhudurg","Redi","","16.6309","73.35684","OpenStreetMap/Mapcarta","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-043","Bharatgad Fort","Sindhudurg","Masure","","16.17147","73.49914","State Protected Monuments coordinate","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-044","Korigad Fort","Pune","Ambavane","","18.62045","73.38609","OpenStreetMap/Mapcarta; Wikidata also identifies state protected monument","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-045","Rangana Fort","Kolhapur","Chickewadi","","16.0775","73.85083","Published coordinate record","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-046","Ankai Fort","Nashik","Ankai","","20.185556","74.443056","Wikidata/Wikimedia coordinate","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
